Video ID,Title,Category,Likes,Dislikes,Watch Time (Seconds),Product Tags,Number of Views
VID0001,Easy Bread Baking for Beginners,Food,1500,40,60,baking bread,8
VID0002,Quick Summer Hairstyles,Beauty,2200,50,90,hairstyle braid,1
VID0003,Hilarious Dog Tricks,Entertainment,4500,100,30,pets dog,18
VID0004,Must-Have Travel Apps,Travel,1800,30,45,travel tips apps,600
VID0005,5-Minute Desk Workouts,Fitness,1200,20,75,exercise fitness,900
VID0006,The Perfect Cup of Coffee,Food,3000,80,120,coffee brewing,100
VID0007,Smartphone Photography Tips,Tech,2500,70,150,photography mobile,8
VID0008,Upcycling Old Clothes,DIY,1000,15,90,crafts fashion,4
VID0009,Learn a Dance Move in Minutes,Entertainment,3800,90,45,dance tutorial,150
VID0010,Relaxing Meditation Techniques,Wellness,2000,30,180,meditation mindfulness,70
VID0011,Budget-Friendly Home Office Setup,DIY,1400,25,105,furniture organization,50
VID0012,Conquer Your Fear of Public Speaking,Self-Help,2800,120,120,public speaking tips,95
VID0013,Easy Weeknight Pasta Recipe,Food,1900,50,45,pasta dinner,750
VID0014,The Perfect Pot of Tea,Food (Arabic),1000,10,60,tea brewing,122000
VID0015,Eco-Friendly Cleaning Hacks,DIY,1600,35,75,cleaning green cleaning,60
VID0016,Animal Facts That Will Blow Your Mind,Entertainment,4200,80,30,animals trivia,13
VID0017,Beginner's Guide to Investing,Finance,2100,150,180,finance stocks,800
VID0018,Line Art Drawing Tutorial,Art,1800,40,120,art drawing,700
VID0019,Workouts You Can Do Anywhere,Fitness,1300,30,60,exercise bodyweight,90
VID0020,ASMR: Relaxing Sounds of Nature,Entertainment,3500,70,240,nature relaxation,110
VID0021,Boost Your Home Wi-Fi Signal,Tech,2400,90,150,internet troubleshooting,8
VID0022,French Braid Hairstyle for Beginners,Beauty,1700,35,90,hairstyle braid,10
VID0023,Learn Basic Sign Language Phrases,Education,2900,60,120,sign language communication,1
VID0024,K-Pop Dance Challenge,Entertainment,4800,150,45,dance K-Pop,602
VID0025,5-Minute Makeup Routine for Work,Beauty,3100,70,75,makeup tutorial,6
VID0026,The Science of Sleep,Education,2600,80,180,sleep health,6
VID0027,Vegan Cheese Making at Home,Food,1500,45,90,vegan cheese,6
VID0028,Must-Have Apps for Students,Education,1900,50,105,productivity apps,6
VID0029,Quick and Easy Guitar Chords,Music,2200,65,120,guitar music,6
VID0030,Travel Packing Hacks for Carry-On Luggage,Travel,3300,100,60,travel tips packing,6
VID0031,DIY Gift Wrapping Ideas for Any Occasion,DIY,2000,40,90,crafts gift wrapping,6
VID0032,Meditation for Beginners: Reduce Stress & Anxiety,Wellness,2700,55,240,meditation mindfulness,6
VID0033,The History of Chocolate,Food (History),1800,25,150,history food,6
VID0034,5 Must-Try Indoor Plants for Beginners,Home & Garden,1900,30,75,plants home decor,6
VID0035,Animal Training Tricks You Can Do at Home,Entertainment,3500,85,45,pets training,6
VID0036,Beginner's Guide to Watercolor Painting,Art,1500,20,120,art painting,6
VID0037,Quick and Healthy Breakfast Smoothie Bowls,Food,2300,60,60,breakfast smoothie,6
VID0038,Learn a magic trick with a deck of cards,Entertainment,4000,110,30,magic card trick,6
VID0039,Spicy Food Challenge,Entertainment (Spanish),3200,140,90,food challenge spicy,23
VID0040,Delicious and Easy Crêpes,Food (French),2100,35,75,cooking French,122
VID0041,Quick and Easy Blintzes Recipe,Food (Armenian),1600,20,90,cooking Armenian,111
VID0042,Easy Korean Traditional House Cleaning Tips,DIY (Korean),2400,50,120,cleaning home hacks,5
VID0043,Strumming Basics for Ukulele Beginners,Music,1800,45,105,music ukulele,6
VID0044,Amazing Paper Airplane Designs That Actually Fly,Entertainment,3900,90,45,crafts airplanes,5
VID0045,The Art of Bullet Journaling,Productivity,2500,60,150,organization journaling,6
VID0046,Workout Routine for Busy Schedules,Fitness,2200,75,60,exercise fitness,6
VID0047,Delicious Vegan Burger Alternatives,Food,1900,40,75,vegan burgers,6
VID0048,Smartphone Photography Hacks for Beginners (Part 2),Tech,2000,55,120,photography mobile,6
VID0049,Declutter Your Home in 5 Easy Steps,DIY,2800,80,180,organization decluttering,6
VID0050,Learn Basic Guitar Chords in Minutes (Advanced),Music,1700,110,150,music guitar,6
VID0051,Public Speaking Tips for Overcoming Nervousness,Self-Help,3200,130,180,public speaking anxiety,6
VID0052,The Benefits of Laughter for Your Health,Wellness,2900,70,120,health happiness,6
VID0053,5 Creative Ways to Repurpose Old Furniture,DIY,2100,45,90,furniture crafts,6
VID0054,Time Management Hacks for Students,Education,2600,65,150,productivity time management,6
VID0055,The History of Video Games,Entertainment (History),4100,100,180,gaming history,6
VID0056,Yoga for Beginners: Improve Flexibility and Mindfulness,Fitness,2300,50,240,yoga meditation,6
VID0057,Easy Weeknight Dinners: 30 Minutes or Less,Food,3400,85,60,cooking meal prep,6
VID0058,The Power of Positive Thinking,Self-Help,2000,40,120,motivation self-improvement,6
VID0059,Documentaries That Will Change Your Perspective,Entertainment (Documentary),3700,120,210,documentary social issues,6
VID0060,Creating a Budget for Beginners,Finance,2800,90,150,finance budgeting,6
VID0061,Natural Hair Care Routine for Beginners,Beauty,2400,60,120,hair care natural hair,9500
VID0062,The Art of Calligraphy: Learn Basic Strokes,Art,1900,35,180,calligraphy lettering,56
VID0063,10 Travel Hacks That Will Save You Money,Travel,3000,70,75,travel tips budget travel,76
VID0064,How to Make Your Own Kombucha at Home,Food,1700,40,90,fermented drinks kombucha,56
VID0065,The Science of Sleep Deprivation,Education (Science),2200,55,150,sleep health,6
VID0066,Line Dancing for Beginners: Fun and Easy Steps,Entertainment,3500,80,60,dance line dancing,55
VID0067,Minimalist Makeup Routine for a Natural Look,Beauty,2800,45,90,makeup minimalism,6
VID0068,The Best Apps for Learning a New Language,Education,2500,60,120,language learning apps,5
VID0071,Birdwatching for Beginners: Identify Common Birds,Entertainment (Nature),2600,40,150,nature birds,6
VID0072,How to Fix a Leaky Faucet: DIY Plumbing,DIY,2000,80,180,home repair plumbing,5
VID0073,The History of Hip Hop Music,Entertainment (History),3800,95,210,music hip hop,6
VID0074,5 Fun Indoor Activities for Kids,Entertainment (Family),3200,65,90,activities kids,5
VID0075,The Importance of Self-Care for Busy People,Wellness,2700,50,120,mental health self-care,6
VID0076,Stoic Philosophy for Beginners,Self-Help (Philosophy),1800,70,150,philosophy stoicism,5
VID0077,Delicious and Healthy Smoothie Bowls for Weight Loss,Food (Health),2300,45,90,smoothie healthy eating,6
VID0078,The Night Sky for Beginners: Identifying Constellations,Education (Science),2900,60,180,astronomy constellations,6
VID0079,How to Write a Compelling Cover Letter,Job Search,2200,85,120,career job application,5
VID0080,Quick and Easy Cleaning Hacks for Your Kitchen,DIY,2500,55,75,cleaning kitchen hacks,6
VID0081,Stress Management Techniques for Relaxation,Wellness,3100,70,150,stress relief mindfulness,5
VID0082,The Benefits of Exercise for Your Mental Health,Fitness (Mental Health),2400,45,120,exercise mental well-being,34
