Video ID,Title,Category,Likes,Dislikes,Watch Time (Seconds),Product Tags,Number of Views,score,ratings
VID0001,Easy Bread Baking for Beginners,Food,1500,40,60,baking bread,8,182.5,1.257035687619905
VID0002,Quick Summer Hairstyles,Beauty,2200,50,90,hairstyle braid,1,2150.0,4.02816730929736
VID0003,Hilarious Dog Tricks,Entertainment,4500,100,30,pets dog,18,244.44444444444446,1.344281537067042
VID0004,Must-Have Travel Apps,Travel,1800,30,45,travel tips apps,600,2.95,1.0041479200609789
VID0005,5-Minute Desk Workouts,Fitness,1200,20,75,exercise fitness,900,1.3111111111111111,1.0018396218020635
VID0006,The Perfect Cup of Coffee,Food,3000,80,120,coffee brewing,100,29.2,1.0411198159029271
VID0007,Smartphone Photography Tips,Tech,2500,70,150,photography mobile,8,303.75,1.4278106350803326
VID0008,Upcycling Old Clothes,DIY,1000,15,90,crafts fashion,4,246.25,1.3468245775217793
VID0009,Learn a Dance Move in Minutes,Entertainment,3800,90,45,dance tutorial,150,24.733333333333334,1.0348287250549004
VID0010,Relaxing Meditation Techniques,Wellness,2000,30,180,meditation mindfulness,70,28.142857142857142,1.0396308796894282
VID0011,Budget-Friendly Home Office Setup,DIY,1400,25,105,furniture organization,50,27.5,1.038725445505544
VID0012,Conquer Your Fear of Public Speaking,Self-Help,2800,120,120,public speaking tips,95,28.210526315789473,1.0397261885508897
VID0013,Easy Weeknight Pasta Recipe,Food,1900,50,45,pasta dinner,750,2.466666666666667,1.0034671676930953
VID0014,The Perfect Pot of Tea,Food (Arabic),1000,10,60,tea brewing,122000,0.008114754098360656,1.000004412446105
VID0015,Eco-Friendly Cleaning Hacks,DIY,1600,35,75,cleaning green cleaning,60,26.083333333333332,1.0367301368410577
VID0016,Animal Facts That Will Blow Your Mind,Entertainment,4200,80,30,animals trivia,13,316.9230769230769,1.4463642970962554
VID0017,Beginner's Guide to Investing,Finance,2100,150,180,finance stocks,800,2.4375,1.0034260878088266
VID0018,Line Art Drawing Tutorial,Art,1800,40,120,art drawing,700,2.5142857142857142,1.0035342368919016
VID0019,Workouts You Can Do Anywhere,Fitness,1300,30,60,exercise bodyweight,90,14.11111111111111,1.019867822441185
